aaiershibingbian,阿埃二氏病变
jinzhongqieyuanzhongwodong,近中切远中窝洞
jinzhongxieweizusheng,近中斜位阻生
jinzhongyaheyuanzhongwodong,近中牙合远中窝洞
jinzhongzhuosiliranseti,近中着丝粒染色体
jinzhushaoshangchaji,金珠烧伤搽剂
jinzhuzhixie,金朱止泻
jinzhuzhixiepian,金朱止泻片
jinzhuanghuaqishencha,金装花旗参茶
jinzhuangyingpaiyangshen,金装鹰牌洋参
jinganhuposuanmeiquefazheng,精氨琥珀酸酶缺乏症
jinganjiayasu,精氨加压素
jinganluofen,精氨洛芬
jinganluofenkeli,精氨洛芬颗粒
jingansuan,精氨酸
jingansuanasipilin,精氨酸阿司匹林
jingansuanasipilinpian,精氨酸阿司匹林片
jingansuanbuluofenkeli,精氨酸布洛芬颗粒
jingansuancuichansu,精氨酸催产素
jingansuandanjiayangmei,精氨酸单加氧酶
jingansuanhetangjizhuanyimei,精氨酸核糖基转移酶
jingansuanhetangzhuanyimei,精氨酸核糖转移酶
jingansuanjiayacuichansu,精氨酸加压催产素
jingansuanjiayasu,精氨酸加压素
jingansuanlianjiemei,精氨酸连接酶
jingansuanmei,精氨酸酶
jingansuanmeiquefazheng,精氨酸酶缺乏症
jingansuanniaosuxunhuan,精氨酸尿素循环
jingansuanshiyan,精氨酸试验
jingansuanteyi,精氨酸特异
jingansuanyixianshuiyangsuan,精氨酸乙酰水杨酸
jingansuanzhusheye,精氨酸注射液
jingansuanzhuanyi,精氨酸转移
jinganxianhechengmei,精氨酰合成酶
jingbailao,颈百劳
jingbanhenluansuo,颈瘢痕挛缩
jingbibuxing,经闭不行
jingbimangtanqiguanneichaguan,经鼻盲探气管内插管
jingbineijingbidoushoushu,经鼻内镜鼻窦手术
jingbineijingkuangjianyashu,经鼻内镜眶减压术
jingbineijingnaomoxiubushu,经鼻内镜脑膜修补术
jingbiqiguanneichaguan,经鼻气管内插管
jingbirulu,经鼻入路
jingbiruyizonghezheng,经闭乳溢综合症
jingbishishenjingjianyashu,经鼻视神经减压术
jingbishuxin,京必舒新
jingbituoxin,京必妥新
jingbizonghezheng,颈臂综合征
jingbiaopipaichu,经表皮排出
jingbiaopipaichujihuan,经表皮排除疾患
jingbiedishiyi,经别第十一
jingbubanhen,颈部瘢痕
jingbubingsunqiechushu,颈部病损切除术
jingbucashangbanyiwu,颈部擦伤伴异物
jingbucuogouliu,颈部错构瘤
jingbucuoshang,颈部挫伤
jingbudongshangbanyouzuzhihuaisi,颈部冻伤伴有组织坏死
jingbudoudaoqiechushu,颈部窦道切除术
jingbuduochusunshang,颈部多处损伤
jingbuduofaxingkaifangxingshangkou,颈部多发性开放性伤口
jingbuduofaxingqianbiaoxingsunshang,颈部多发性浅表性损伤
jingbuduofaxingtuowei,颈部多发性脱位
jingbuexingzhongliu,颈部恶性肿瘤
jingbuerzhuangfujian,颈部耳状附件
jingbufengwozuzhiyan,颈部蜂窝组织炎
jingbuheisesuliu,颈部黑色素瘤
jingbujifaxingexingzhongliu,颈部继发性恶性肿瘤
jingbujirouniushang,颈部肌肉扭伤
jingbujisuisunshang,颈部脊髓损伤
jingbujiyashang,颈部挤压伤
jingbujizhuduofaxingguzhe,颈部脊柱多发性骨折
jingbujizhuliebanyounaojishui,颈部脊柱裂伴有脑积水
jingbujizhuliebubannaojishui,颈部脊柱裂不伴脑积水
jingbujizhuniushanghelaosun,颈部脊柱扭伤和劳损
jingbujizhushenjinggensunshang,颈部脊柱神经根损伤
jingbujiaxingpiweisuo,颈部假性皮萎缩
jingbujiaoganshenjingsunshang,颈部交感神经损伤
jingbujiedizuzhiexingzhongliu,颈部结缔组织恶性肿瘤
jingbujiedizuzhiliangxingzhongliu,颈部结缔组织良性肿瘤
jingbukaifangxingshangkou,颈部开放性伤口
jingbukaifangxingshangkoubanganran,颈部开放性伤口伴感染
jingbukaifangxingsunshangbanyiwu,颈部开放性损伤伴异物
jingbukaifangxingsunshangtanchashu,颈部开放性损伤探查术
jingbukuoqingshu,颈部廓清术
jingbuliangxingzhongliu,颈部良性肿瘤
jingbulinbajiejiehe,颈部淋巴结结核
jingbulinbajieqiechushu,颈部淋巴结切除术
jingbulingxingpi,颈部菱形皮
jingbulouguanjinangzhong,颈部瘘管及囊肿
jingbumeiduxingbaiban,颈部梅毒性白斑
jingbunangzhuangshuiliuqiechushu,颈部囊状水瘤切除术
jingbunongzhong,颈部脓肿
jingbunongzhongyinliushu,颈部脓肿引流术
jingbupifuexingzhongliu,颈部皮肤恶性肿瘤
jingbupifuliangxingzhongliu,颈部皮肤良性肿瘤
jingbupifuyuanweiai,颈部皮肤原位癌
jingbuqiguanzaokouzaizaoshu,颈部气管造口再造术
jingbuqianbiaodongshang,颈部浅表冻伤
jingbuqiekaitanchashu,颈部切开探查术
jingbuqingchuangshu,颈部清创术
jingburuanzuzhibingsunqiechu,颈部软组织病损切除
jingburuanzuzhiganran,颈部软组织感染
jingbushangkoufengheshu,颈部伤口缝合术
jingbushangkouqingchuangshu,颈部伤口清创术
jingbushaoshang,颈部烧伤
jingbushenjingliangxingzhongliu,颈部神经良性肿瘤
jingbushenqu,颈部深龋
jingbushiguancuoshang,颈部食管挫伤
jingbushiguankaifangxingshangkou,颈部食管开放性伤口
jingbushiguansunshang,颈部食管损伤
jingbushiguanweiwenheshu,颈部食管胃吻合术
jingbushiguanzaokoushu,颈部食管造口术
jingbusunshang,颈部损伤
jingbuxiantianxingjixing,颈部先天性畸形
jingbuxianweiliubing,颈部纤维瘤病
jingbuxiongxiannangzhong,颈部胸腺囊肿
jingbuxueguanliu,颈部血管瘤
jingbuyuanweiheisesuliu,颈部原位黑色素瘤
jingbuzhongwu,颈部肿物
jingbuzhongwuqiechu,颈部肿物切除
jingbuzhongwuqiechushu,颈部肿物切除术
jingbuzhongwuqiekaihuojianshu,颈部肿物切开活检术
jingbuzhouweishenjingsunshang,颈部周围神经损伤
jingbuzhuijianpanchuangshangxingpolie,颈部椎间盘创伤性破裂
jingcanyiqi,景参益气
jingcanyiqikeli,景参益气颗粒
jingcefurendai,胫侧副韧带
jingcelierulu,经侧裂入路
jingcenaoshisanjiaoqurulu,经侧脑室三角区入路
jingchaxinliceyan,警察心理测验
jingchangjingteshuzhiliao,经肠镜特殊治疗
jingchaojuedingyinzi,精巢决定因子
jingchijiyachimosun,净齿剂牙齿磨损
jingchunkangshuanmei,精纯抗栓酶
jingcichangliaofa,静磁场疗法
jingcuichansu,精催产素
jingdaji,京大戟
jingdanaobanqiujianrulu,经大脑半球间入路
jingdatuibizhi,颈大腿比值
jingdainingjiaonang,经带宁胶囊
jingdainingjieyinye,经带宁洁阴液
jingdaitaichanjukezhi,经带胎产俱可治
jingdanbaichongzurenyidaosu,精蛋白重组人胰岛素
jingdanbaixinchongzurenyidaosu,精蛋白锌重组人胰岛素
jingdanbaixinyidaosu,精蛋白锌胰岛素
jingdanbaixinyidaosuzhusheye,精蛋白锌胰岛素注射液
jingdandaojinglouguanqushishu,经胆道镜瘘管取石术
jingdanxinyidaosuzhusheye,精蛋锌胰岛素注射液
jingdaoguandongmaishuansailiaofa,经导管动脉栓塞疗法
jingdiweibuzhichangaiqiechushu,经骶尾部直肠癌切除术
jingdianceyanlilun,经典测验理论
jingdianhengwenfa,经典恒温法
jingdianliaofa,静电疗法
jingdiantujing,经典途径
jingdianxingnimanpikebing,经典型尼曼皮克病
jingdianxingtiaojianzuoyong,经典性条件作用
jingdianzhiliao,静电治疗
jingdiedouchuitiliuqiechushu,经蝶窦垂体瘤切除术
jingdiedouchuititanchashu,经蝶窦垂体探查术
jingdiedounangzhongqiechushu,经蝶窦囊肿切除术
jingdiedourulu,经蝶窦入路
jingdieguchuitihuojianshu,经蝶骨垂体活检术
jingdieguchuititanchashu,经蝶骨垂体探查术
jingdongjingmailoushuanseshu,颈动静脉瘘栓塞术
jingdongjingmailouxiubushu,颈动静脉瘘修补术
jingdongmaibi,颈动脉壁
jingdongmaidongmailiu,颈动脉动脉瘤
jingdongmaidongmaiyinghua,颈动脉动脉硬化
jingdongmaidou,颈动脉窦
jingdongmaidouyunjue,颈动脉窦晕厥
jingdongmaifenliushu,静动脉分流术
jingdongmaifengheshu,颈动脉缝合术
jingdongmaigou,颈动脉沟
jingdongmaiguan,颈动脉管
jingdongmaiguanneikou,颈动脉管内口
jingdongmaiguanwaikou,颈动脉管外口
jingdongmaiguanzhu,颈动脉灌注
jingdongmaijiazhuangxianzhuanhuanshijian,颈动脉甲状腺转换时间
jingdongmaijiejie,颈动脉结节
jingdongmaijiezashu,胫动脉结扎术
jingdongmaijiezashu,颈动脉结扎术
jingdongmaijingjingmaiguanzhu,颈动脉颈静脉灌注
jingdongmaikuozhang,颈动脉扩张
jingdongmaikuozhangshu,颈动脉扩张术
jingdongmailiu,颈动脉瘤
jingdongmailiujiabishu,颈动脉瘤夹闭术
jingdongmainaodongmaijiaqiaoshu,颈动脉脑动脉架桥术
jingdongmaineimobotuoshu,颈动脉内膜剥脱术
jingdongmaineimoqiechushu,胫动脉内膜切除术
jingdongmaineimoqiechushu,颈动脉内膜切除术
jingdongmaiqiao,颈动脉鞘
jingdongmaiqiekaiqushuanshu,颈动脉切开取栓术
jingdongmaiqiekaishu,胫动脉切开术
jingdongmaiqushuanshu,颈动脉取栓术
jingdongmaishuansaishu,颈动脉拴塞术
jingdongmaisunshang,颈动脉损伤
jingdongmaitiexingzhongliu,颈动脉体恶性肿瘤
jingdongmaitijiaojieexingzhongliu,颈动脉体交界恶性肿瘤
jingdongmaitiliangxingzhongliu,颈动脉体良性肿瘤
jingdongmaitiliu,颈动脉体瘤
jingdongmaitiliuqiechushu,颈动脉体瘤切除术
jingdongmaitong,颈动脉痛
jingdongmaiwaimobotuoshu,颈动脉外膜剥脱术
jingdongmaixiazhai,颈动脉狭窄
jingdongmaixiaoqiu,颈动脉小球
jingdongmaixueguanliuqiechushu,胫动脉血管瘤切除术
jingdongmaixueguanwenheshu,颈动脉血管吻合术
jingdongmaixueguanyizhishu,颈动脉血管移植术
jingdongmaixueshuanqiechushu,颈动脉血栓切除术
jingdongmaixueshuanxingcheng,颈动脉血栓形成
jingdongmaiyan,颈动脉炎
jingdongmaizaoying,颈动脉造影
jingdongmaizaoyingshu,颈动脉造影术
jingdongmaizhijia,颈动脉支架
jingdongmaizhijiabaohusan,颈动脉支架保护伞
jingdongmaizhijiadanguixing,颈动脉支架单轨型
jingdongmaizhipianxiubushu,颈动脉植片修补术
jingdongmaizhuanliuguan,颈动脉转流管
jingduanqiguanshiguanlouxiubushu,颈段气管食管瘘修补术
jingduanshiguanqiechushu,颈段食管切除术
jingechuitihuojianshu,经额垂体活检术
jingechuitiliuqiechushu,经额垂体瘤切除术
jingechuitiquanbuqiechushu,经额垂体全部切除术
jingexingzhouweishenjingzhongliu,颈恶性周围神经肿瘤
jingeyecenaoshirulu,经额叶侧脑室入路
jingerdoudao,颈耳窦道
jingerlouguan,颈耳瘘管
jingermianshenjingshulishu,经耳面神经梳理术
jingernangzhong,颈耳囊肿
jingernaojiyeerlouxiubushu,经耳脑脊液耳漏修补术
jingerneijinggumoxiubushu,经耳内镜鼓膜修补术
jingerneijinggushitanchashu,经耳内镜鼓室探查术
jingfangbaidu,荆防败毒
jingfangbaidusan,荆防败毒散
jingfangbaiduwan,荆防败毒丸
jingfangkeli,荆防颗粒
jingfangkoufuye,荆防口服液
jingfeiguchengxingshu,胫腓骨成形术
jingfeiguguzhe,胫腓骨骨折
jingfeigujiaban,胫腓骨夹板
jingfeigujiegushu,胫腓骨截骨术
jingfeigukaifangxingguzhe,胫腓骨开放性骨折
jingfeiguxiajiegushu,胫腓骨下截骨术
jingfeiguyanchangshu,胫腓骨延长术
jingfeiguanjie,胫腓关节
jingfeiguanjierongheshu,胫腓关节融合术
jingfeihourendai,胫腓后韧带
jingfeilianjie,胫腓连结
jingfeiqianrendai,胫腓前韧带
jingfeirendaisilie,胫腓韧带撕裂
jingfeirendaisilieyuanduan,胫腓韧带撕裂远端
jingfeiyuanduanguanjietuowei,胫腓远端关节脱位
jingfengqili,惊风七厘
jingfengqilisan,惊风七厘散
jingfengsizhengbahou,惊风四症八侯
jingfudizhichangqiechushu,经腹骶直肠切除术
jingfugeshanxiubushu,经腹膈疝修补术
jingfukangkeli,颈复康颗粒
jingfumopoufuchan,经腹膜剖腹产
jingfuqiangjinggannangzhongqiechushu,经腹腔镜肝囊肿切除术
jingfuqiangjinggannongzhongyinliushu,经腹腔镜肝脓肿引流术
jingfuqiangjinggeshanxiubushu,经腹腔镜膈疝修补术
jingfuqiangjingquhuanshu,经腹腔镜取环术
jingfuqiangjingquluanshu,经腹腔镜取卵术
jingfuqiangjingyingaotanchashu,经腹腔镜隐睾探查术
jingfuquanzigongqiechushu,经腹全子宫切除术
jingfuweijingjianchashu,经腹胃镜检查术
jingfuxiantianyichang,精阜先天异常
jingfuxionggupangshanxiubushu,经腹胸骨旁疝修补术
jingfuyanyaoshui,晶福眼药水
jingfuzengsheng,精阜增生
jingfuzhichangaigenzhishu,经腹直肠癌根治术
jingfuzhijiqiekou,经腹直肌切口
jingfuzhiyang,荆肤止痒
jingfuzhiyangkeli,荆肤止痒颗粒
jingfuzigongciquanqiechushu,经腹子宫次全切除术
jingfuzigongjiliuqiechushu,经腹子宫肌瘤切除术
jingfuzigongjiliutichushu,经腹子宫肌瘤剔除术
jingfuzigongjinghuanzhashu,经腹子宫颈环扎术
jinggankeli,精肝颗粒
jinggangmenjujiechanggenzhishu,经肛门巨结肠根治术
jinggangmenzhichangtuochuishoushu,经肛门直肠脱垂手术
jinggejiashuo,晶格假说
jinggenengbutong,晶格能不同
jinggonggujieduanshu,经肱骨截断术
jinggongqiangjingquhuanshu,经宫腔镜取环术
jinggongqiangjingshuluanguanchaguanshu,经宫腔镜输卵管插管术
jingguansuan,精谷氨酸
jinggubingsunqiechushu,胫骨病损切除术
jinggubufenqiechushu,胫骨部分切除术
jinggucenianyenangyan,胫骨侧粘液囊炎
jingguchenggurouliu,胫骨成骨肉瘤
jingguculong,胫骨粗隆
jingguculongguruangubing,胫骨粗隆骨软骨病
jingguexingzhongliu,胫骨恶性肿瘤
jinggufeigu,胫骨腓骨
jingguganguzhe,胫骨干骨折
jinggugaoweichujiujiegushu,胫骨高位杵臼截骨术
jinggugaoweijiegushu,胫骨高位截骨术
jinggugumuxibaoliu,胫骨骨母细胞瘤
jingguguzhe,胫骨骨折
jingguguzheleijihuaiguanjie,胫骨骨折累及踝关节
jingguhoufenliyanchangshu,胫骨骺分离延长术
jingguhouji,胫骨后肌
jingguhoutianxingquesun,胫骨后天性缺损
jingguhuojianshu,胫骨活检术
jinggujiaguanjie,胫骨假关节
jinggujiaqiangxing,胫骨加强型
jinggujianyashu,胫骨减压术
jinggujiaosuoding,胫骨交锁钉
jinggujiegushu,胫骨截骨术
jinggujiehe,胫骨结核
jinggujiejie,胫骨结节
jinggujiejiediangaoshu,胫骨结节垫高术
jinggujiejieguzhe,胫骨结节骨折
jinggujiejieqianyinshu,胫骨结节牵引术
jinggujiepouxingrengongxiguanjie,胫骨解剖型人工膝关节
jinggujinduanweichuanggangban,胫骨近端微创钢板
jinggujinduanweichuanggangbanchuntai,胫骨近端微创钢板纯钛
jinggujinduanyixingjiepougangban,胫骨近端异型解剖钢板
jinggujingmaichaguan,经股静脉插管
jinggujuxibaoliu,胫骨巨细胞瘤
jinggukaifangxingguzhe,胫骨开放性骨折
jinggukeguzhe,胫骨髁骨折
jinggukejianlongqi,胫骨髁间隆起
jingguliangxingzhongliu,胫骨良性肿瘤
jingguneiceke,胫骨内侧髁
jingguneifan,胫骨内翻
jinggupingtaitaigaoshu,胫骨平台抬高术
jingguqianji,胫骨前肌
jingguqiegugujiaoxing,胫骨切骨骨矫形
jingguqiekaiyinliushu,胫骨切开引流术
jinggushangduan,胫骨上段
jinggushangduanguzhe,胫骨上端骨折
jinggushangduanjiegushu,胫骨上端截骨术
jinggushangduanjiezhishu,胫骨上段截肢术
jinggushangduankaifangxingguzhe,胫骨上端开放性骨折
jinggushangduanqiegushu,胫骨上端切骨术
jinggushangduanzuankongjianyashu,胫骨上段钻孔减压术
jinggutouguzhe,胫骨头骨折
jingguwaifan,胫骨外翻
jingguxiaduan,胫骨下端
jingguxiaduanguzhe,胫骨下端骨折
jingguyanchangshu,胫骨延长术
jingguyuanduanyixingjiepougangban,胫骨远端异型解剖钢板
jingguzhigushu,胫骨植骨术
jingguzongxingduanquequexian,胫骨纵形短缺缺陷
jingguanfayubuquan,精管发育不全
jinghengshenjing,颈横神经
jinghoudongmai,胫后动脉
jinghoujidaigenjianshu,胫后肌代跟腱术
jinghoujijianwenheshu,胫后肌腱吻合术
jinghoujijianyan,胫后肌腱炎
jinghoujiqianzhishu,胫后肌前植术
jinghoujiyizhishu,胫后肌移植术
jinghoushenjingqianyazonghezheng,胫后神经嵌压综合症
jinghoushenjingsongjieshu,胫后神经松解术
jinghoushenjingsunshang,胫后神经损伤
jinghouzongrendaigaihua,颈后纵韧带钙化
jinghumalu,镜湖马路
jinghuaweikang,荆花胃康
jinghuaweikangjiaowan,荆花胃康胶丸
jinghuanzhuangjiegou,茎环状结构
jinghuiyinhuojian,经会阴活检
jinghuiyinqianliexianqiechushu,经会阴前列腺切除术
jinghunxiang,惊魂香
jingjigang,经济港
jingjiribaoxingchengliaoyangsuo,经济日报兴城疗养所
jingjizhuzaironghehoulufa,颈脊柱再融合后路法
jingjiayacuichansu,精加压催产素
jingjianpeiyang,茎尖培养
jingjiangdanbai,精浆蛋白
jingjiangdingtimeijianceshiji,精浆顶体酶检测试剂
jingjiangguotangceding,精浆果糖测定
jingjiangsuanxinglinsuanmeishiji,精浆酸性磷酸酶试剂
jingjiangxinjianceshiji,精浆锌检测试剂
jingjiaoganshenjing,颈交感神经
jingjiaoganshenjingcijizonghezheng,颈交感神经刺激综合症
jingjiaoganshenjingmabi,颈交感神经麻痹
jingjiaoganshenjingqiechushu,颈交感神经切除术
jingjiedifuzhiyangchaji,荆芥地肤止痒搽剂
jingjiesuitan,荆芥穗炭
jingjieyou,荆芥油
jingjieyuqufen,境界与区分
jingjindishisan,经筋第十三
jingjingbujingtuguochangqiechushu,经颈部茎突过长切除术
jingjingjingmaidanguanzaoying,经颈静脉胆管造影
jingjingmaibaoguoshu,颈静脉包裹术
jingjingmaibi,颈静脉壁
jingjingmaibingsunqiechushu,胫静脉病损切除术
jingjingmaifenliu,静静脉分流
jingjingmaijixingqiechushu,颈静脉畸形切除术
jingjingmaijiaojieexingzhongliu,颈静脉交界恶性肿瘤
jingjingmaijiejie,颈静脉结节
jingjingmaijiezashu,胫静脉结扎术
jingjingmaikong,颈静脉孔
jingjingmaikongzonghezheng,颈静脉孔综合症
jingjingmaikuozhang,颈静脉扩张
jingjingmailiuchengxingshu,颈静脉瘤成形术
jingjingmailiuqiechu,颈静脉瘤切除
jingjingmaiqiboqi,经静脉起搏器
jingjingmaiqieji,颈静脉切迹
jingjingmaiqiekaiqushuanshu,颈静脉切开取栓术
jingjingmaiqiekaishu,胫静脉切开术
jingjingmaiqiuliuqiechushu,颈静脉球瘤切除术
jingjingmaiwo,颈静脉窝
jingjingmaiwunuzhang,颈静脉无怒张
jingjingmaixindaoguanzaoyingshu,经静脉心导管造影术
jingjingmaixiongdaoguanwenheshu,颈静脉胸导管吻合术
jingjingmaixueguanqiuliu,颈静脉血管球瘤
jingjingmaixueshuanxingcheng,颈静脉血栓形成
jingjingmaiyizhishu,颈静脉移植术
jingjingmaizaoying,颈静脉造影
jingjiufangshu,精究方术
jingjuganmao,荆菊感冒
jingjuganmaopian,荆菊感冒片
jingjuguanjierongheshu,胫距关节融合术
jingjuguanjietuowei,胫距关节脱位
jingjuejiazhong,惊厥加重
jingjuexingfazuo,惊厥性发作
jingkongjingfengzheng,惊恐惊风证
jingkongjingjuezheng,惊恐痉厥证
jingkongqinizheng,惊恐气逆证
jingkongshangshenzheng,惊恐伤神证
jingkongshangshenzheng,惊恐伤肾证
jingkongzhangai,惊恐障碍
jingkoubidiedourulu,经口鼻蝶窦入路
jingkouchizhuangtuqiechushu,经口齿状突切除术
jingkoujingtuguochangqiechushu,经口茎突过长切除术
jingkoumingshichaguan,经口明视插管
jingkourulu,经口入路
jingkouruluchituqiechushu,经口入路齿突切除术
jingkuangrulu,经眶入路
jingkuojixuanrendai,颈阔肌悬韧带
jingkuoqingshu,颈廓清术
jingkuoqingshudance,颈廓清术单侧
jingkuoqingshushuangce,颈廓清术双侧
jingleiqiechushu,颈肋切除术
jingleizonghezheng,颈肋综合征
jinglixingyundong,静力性运动
jinglixuandiao,静力悬吊
jinglinbaguanzusexuliezheng,颈淋巴管阻塞序列征
jinglinbajiebing,颈淋巴结病
jinglinbajienangzhongpolie,颈淋巴结囊肿破裂
jinglinbajieqiechushu,颈淋巴结切除术
jinglinbajieqingsaoshu,颈淋巴结清扫术
jinglinbajieyan,颈淋巴结炎
jinglinbajiezhongda,颈淋巴结肿大
jinglingkoufuye,精苓口服液
jinglingkoufuye,静灵口服液
jingluduopule,经颅多普勒
jingluduopulechaosheng,经颅多普勒超声
jinglukuangzhongliuqiechushu,经颅眶肿瘤切除术
jinglunaojiyeerlouxiubushu,经颅脑脊液耳漏修补术
jingluneijinghuojianshu,经颅内镜活检术
jinglushishenjingguanjianyashu,经颅视神经管减压术
jingluzonghezheng,颈颅综合征
jingluanchuanran,经卵传染
jingluandusu,痉挛毒素
jingluangongjishitiaobutai,痉挛共济失调步态
jingluanjidiancijiliaofa,痉挛肌电刺激疗法
jingluanxianghuzhuo,精卵相互酌
jingluanxingchanggengzu,痉挛性肠梗阻
jingluanxingchoudongzhangai,痉挛性抽动障碍
jingluanxingdanaoxingmabi,痉挛性大脑性麻痹
jingluanxingjianneifan,痉挛性睑内翻
jingluanxingjianwaifan,痉挛性睑外翻
jingluanxingjiechang,痉挛性结肠
jingluanxingjietan,痉挛性截瘫
jingluanxingmabi,痉挛性麻痹
jingluanxingpiantan,痉挛性偏瘫
jingluanxingsizhitanhuan,痉挛性四肢瘫痪
jingluanxingtanhuan,痉挛性瘫痪
jingluanxingweiyan,痉挛性胃炎
jingluanxingxiejing,痉挛性斜颈
jingluanxingxieshi,痉挛性斜视
jingluanzhuangtai,痉挛状态
jingluofushu,经络府俞
jingluofuyuyinyanghuitong,经络府俞阴阳会通
jingluojibiao,经络肌表
jingluolunpiandiwushiqi,经络论篇第五十七
jingluotongzhusheye,经络通注射液
jingluoxueweicepingliaofa,经络穴位测评疗法
jingluoyangliaofa,经络氧疗法
jingluoyuzhizheng,经络瘀滞证
jingluoyuzuzheng,经络瘀阻证
jingluozhitibingzheng,经络肢体病症
jingmaiban,静脉瓣
jingmaibanyizhishu,静脉瓣移植术
jingmaibisexingganbing,静脉闭塞性肝病
jingmaibianmo,静脉辨模
jingmaibielunpiandiershiyi,经脉别论篇第二十一
jingmaiboyuzuzheng,经脉搏瘀阻证
jingmaibupianchengxingshu,静脉补片成形术
jingmaicaixie,静脉采血
jingmaichaguan,静脉插管
jingmaichaguanshuye,静脉插管输液
jingmaichuxie,静脉出血
jingmaichuanci,静脉穿刺
jingmaichuancizhiguanshu,静脉穿刺置管术
jingmaidandaozaoying,静脉胆道造影
jingmaidanguanzaoying,静脉胆管造影
jingmaidannangzaoying,静脉胆囊造影
jingmaidaoguandanqiang,静脉导管单腔
jingmaidaoguansanqiang,静脉导管三腔
jingmaidaoguanshuangqiang,静脉导管双腔
jingmaidiru,静脉滴入
jingmaidishi,经脉第十
jingmaidizhu,静脉滴注
jingmaidiandi,静脉点滴
jingmaidongmaiguanliu,静脉动脉灌流
jingmaidongmaihuapiban,静脉动脉化皮瓣
jingmaidongmaihuayoulipiban,静脉动脉化游离皮瓣
jingmaidongmaihunheguanliu,静脉动脉混合灌流
jingmaidongmaizhuanliu,静脉动脉转流
jingmaidongmaizhuanliushu,静脉动脉转流术
jingmaidoufenliushu,静脉窦分流术
jingmaidouqiechushu,静脉窦切除术
jingmaidouquesun,静脉窦缺损
jingmaidouxueshuanxingcheng,静脉窦血栓形成
jingmaidouzonghezheng,静脉窦综合征
jingmaifenliushu,静脉分流术
jingmaifengheshu,静脉缝合术
jingmaigaoyingyang,静脉高营养
jingmaigaoyingyangzhiliao,静脉高营养治疗
jingmaihuiliu,静脉回流
jingmaihuiliuguanlu,静脉回流管路
jingmaihuixinxueliang,静脉回心血量
jingmaijinengbuquan,静脉机能不全
jingmaijiao,静脉角
jingmaijieruzhenliao,静脉介入诊疗
jingmaijingmai,静脉静脉
jingmaijingmaiguanliu,静脉静脉灌流
jingmaijingmaizhuanliushu,静脉静脉转流术
jingmaijubumazui,静脉局部麻醉
jingmaikuozhang,静脉扩张
jingmailiushuanquchushu,静脉瘤栓取出术
jingmailiuzhizhen,静脉留置针
jingmaimazui,静脉麻醉
jingmaimazuiyao,静脉麻醉药
jingmaiminiaoxizaoying,静脉泌尿系造影
jingmaineiyanghe,静脉内氧合
jingmaineizhushemianyiqiudanbai,静脉内注射免疫球蛋白
jingmaipiban,静脉皮瓣
jingmaipolie,静脉破裂
jingmaiqibo,静脉起搏
jingmaiqiekai,静脉切开
jingmaiqiekaichaguanshu,静脉切开插管术
jingmaiqiekaishu,静脉切开术
jingmaiqiekaizhiguanshu,静脉切开置管术
jingmaiquzhanggaoweijiezashu,静脉曲张高位结扎术
jingmaiquzhangjiezashu,静脉曲张结扎术
jingmaiquzhangpolie,静脉曲张破裂
jingmaiquzhangxingkuiyang,静脉曲张性溃疡
jingmaiquzhangxingpiyan,静脉曲张性皮炎
jingmaiquzhangzonghezheng,静脉曲张综合症
jingmairendai,静脉韧带
jingmairendailie,静脉韧带裂
jingmairengongxueguanbupianshu,静脉人工血管补片术
jingmairenxuebingzhongqiudanbai,静脉人血丙种球蛋白
jingmaisantong,静脉三通
jingmaishenyuzaoying,静脉肾盂造影
jingmaishenyuzaoyingshu,静脉肾盂造影术
jingmaishuxue,静脉输血
jingmaishuye,静脉输液
jingmaishuyebeng,静脉输液泵
jingmaituizhu,静脉推注
jingmaixidu,静脉吸毒
jingmaixirufuhemazui,静脉吸入复合麻醉
jingmaixiazhai,静脉狭窄
jingmaixinghuaiju,静脉性坏疽
jingmaixingxueguanliu,静脉性血管瘤
jingmaixuedongmaihua,静脉血动脉化
jingmaixueshuanxingcheng,静脉血栓形成
jingmaiyacedingguan,静脉压测定管
jingmaiyajiance,静脉压监测
jingmaiyan,静脉炎
jingmaiyanhouzonghezheng,静脉炎后综合症
jingmaiyizhi,静脉移植
jingmaiyingyangdai,静脉营养袋
jingmaiyoulipibian,静脉游离皮辩
jingmaiyuzhi,静脉淤滞
jingmaizaoying,静脉造影
jingmaizaoyingshu,静脉造影术
jingmaizhouweiyan,静脉周围炎
jingmaizhushe,静脉注射
jingmaizhushedupin,静脉注射毒品
jingmaizhushefa,静脉注射法
jingmaizhusheyinghuaji,静脉注射硬化剂
jingmaizhusheyongbingzhongqiudanbai,静脉注射用丙种球蛋白
jingmaizhuxueqi,静脉贮血器
jingmaizhuanliushu,静脉转流术
jingmifuzhuoti,精密附着体
jingmiluqiantingshenjingqieduanshu,经迷路前庭神经切断术
jingmilurulu,经迷路入路
jingmilutingshenjingliuqiechushu,经迷路听神经瘤切除术
jingmiluyanjianyinliushu,经迷路岩尖引流术
jingmizhituo,精密支托
jingmianbufangxianjunbing,颈面部放线菌病
jingmuxibao,精母细胞
jingnangdichongbing,精囊滴虫病
jingnangexingzhongliu,精囊恶性肿瘤
jingnangfangxianjunbing,精囊放线菌病
jingnanghuojianshu,精囊活检术
jingnangjifaxingexingzhongliu,精囊继发性恶性肿瘤
jingnangjiaojieexingzhongliu,精囊交界恶性肿瘤
jingnangjiehe,精囊结核
